word,ukrainian,definition
Connected,Підєднаний,"Connected means joined to a network, device, or power source."
Contrast,Контраст,Contrast is the difference between light and dark areas of a display.
Control key,Клавіша CTRL,The control key is used in keyboard shortcuts for commands.
Copyright laws,Закони про авторське право,copyright laws
Crash,Збій,system or program failure
CRT (Cathode Ray Tube),Катодно-променева трубка,old type of CRT monitor
CRT Monitor,ЕПТ монітор,A CRT monitor is a bulky display using cathode ray tube technology.
Cursor,Курсор,screen cursor
Data breach,Порушення безпеки даних,data security breach
Data input,Введення даних,Data input refers to entering information into a computer system.
Data integrity,Цілісність даних,data integrity
Decryption,Дешифрування,data decryption
Delete key,Клавіша DELETE,The delete key removes characters or selected items.
Desktop case,Настільний корпус системного блоку,horizontal computer case
Desktop computer,Настільний компютер,A desktop computer is a personal computer designed for use at a fixed location.
Dial,Циферблат,"Зайде-зайдеш і до мене, моя пташка"
Digital camera,Цифрова камера,A digital camera is a device that captures photographs and videos in digital format.
Discussion board,Форум,discussion board
Disk cleanup utility,Інструмент до очистки диску,disk cleaning tool
Disk defragmentation tool,Інструмент до дефрагментації диску,disk defragmentation program
Docking station,Док-станція,A docking station is a device that connects a laptop to multiple peripherals.
Domain Name System (DNS),Система доменних імен,internet domain name system
Double click,Подвійне натискання,A double click is two quick presses of a mouse button.
Download speed,Швидкість завантаження даних,data download speed
DPI(dots per inch),Точки на дюйм(DPI),DPI refers to the number of dots per inch in a printed or scanned image.
Drop-down menu,Випадаюче меню,drop-down menu
DVD Drive,DVD диск,A DVD drive is a device that reads and writes DVD discs.
Easy to use,Простий у використанні,Easy to use means simple and user-friendly.
Email etiquette,Етикет Email,rules of writing emails
Encryption,Шифрування,data encryption
Enter key,Клавіша введення,The enter key executes commands or confirms actions.
Ergonomic keyboard,Ергономічна клавіатура,An ergonomic keyboard is designed to reduce strain on hands and wrists.
Escape key,Клавіша ESC,The escape key cancels or exits operations.
Exhausted battery,Виснажений заряд,An exhausted battery is one that has completely run out of power.
Expansion card,Плата розширення,An expansion card is a component inserted into a computer to add functionality.
False,Хибний,False means untrue or incorrect.
Fan,Кулер,computer cooling fan
Fast,Швидкий,Fast means moving or operating quickly.
Fax machine,Факс,A fax machine is a device that sends and receives documents over telephone lines.
File format,Формат файлу,A file format is the structure in which a digital file is saved.
Firewall,Брандмауер,network firewall protecting the computer
Firmware,Прошивка,built-in device software
Flaming,Цькування в інтернеті,offensive online comments
Flat battery,Розряджена батарея,A flat battery is one that has no remaining charge.
Flat panel monitor,Плаский монітор,A flat panel monitor is a thin screen that uses LCD or LED technology.
Flatbed scanner,Планшетний сканер,A flatbed scanner scans documents placed on a glass surface.
Floppy disk,Дискета,A floppy disk is a magnetic storage medium used for small amounts of data.
Front panel header,Обігрівач передньої панелі,front panel connector
Function keys,Функціональні клавіші,Function keys are the keys labeled F1–F12 used for shortcuts.
Give(as in give a presentation),Презентувати,To give a presentation means to deliver information to an audience.
Handheld scanner,Ручний сканер,A handheld scanner is a portable device used to scan documents manually.
Have a passion for,Мати пристрасть до,to have a strong enthusiasm or interest in something
Have strong skills,Мати сильні навички,to possess advanced or highly developed abilities
Heat sink,Радіатор,heat-dissipating radiator
High-tech,Високотехнологічний,High-tech refers to modern and advanced technology.
High resolution,Висока роздільна здатність,High resolution means an image contains many pixels and fine detail.
High speed,Високошвидкісний,High speed means very fast performance.
Highlight,Виділити,select text or object
Hit(key),Натиснути,To hit a key means to press a key on the keyboard.
Hold down,Затиснути,To hold down means to keep a key or button pressed.
Image editing,Редагування фото,Image editing is the process of modifying or enhancing digital images.
Inches(screen size),Дюйми,Screen size in inches refers to the diagonal measurement of a monitor.
Incorrect,Неправильний,Incorrect means not accurate or wrong.
Indicator lights,Індикаторні лампи,Indicator lights show device status such as power or battery level.
Insert(CD ROM),Вставити(компакт-диск),To insert a CD-ROM means to place the disc into the computer’s drive.
Interface,Інтерфейс,software interface
IP address,IP-адреса,device internet address
Joystick,Джойстик,A joystick is a control device used mainly for gaming and simulations.
JPEG,JPEG,JPEG is a widely used digital image compression format.
Key,Клавіша,A key is an individual button on a keyboard.
Key in,Вводити(дані),To key in means to enter information using the keyboard.
Keyboard,Клавіатура,A keyboard is a device with keys used to input text and commands into a computer.
Laptop computer,Ноутбук,A laptop computer is a portable personal computer with a built-in screen and keyboard.
Laser printer,Лазерний принтер,high-quality laser printer
Latency,Затримка,delay in data transmission
Latest model,Остання модель,Latest model refers to the most recently released version of a product.
LCD (Liquid Crystal Display),Рідкокристалічний дисплей,liquid crystal display
Left button,Ліва клавіша миші,The left button is the main mouse button used for selecting.
Login credentials,Дані для входу,login data
Long distance,Далекі дистанціі,Long distance refers to the ability to operate over a large range.
Look at(screen),Дивитись на,To look at the screen means to view information displayed on a monitor.
Loudspeakers,Гучномовець,Loudspeakers are devices that output sound from a computer or audio system.
Low-tech,Низькотехнологічний,Low-tech refers to simple technology with minimal complexity.
Low battery,Низький заряд,A low battery has only a small amount of charge remaining.
Low resolution,Низька роздільна здатність,Low resolution means an image has fewer pixels and less detail.
Lower access modifier,Нижчий модифікатор доступу,a programming modifier that reduces visibility of class members
Mechanical mouse,Механічна мишка,mouse with a tracking ball
Memory card,Карта памяті,memory card
Modem,Модем,A modem is a device that connects a computer to the internet over phone or cable lines.
Most modern,Найсучасніший,Most modern means the most up-to-date in design or technology.
Motherboard,Материнська плата,mainboard / motherboard
Mouse,Мишка,A mouse is a handheld device used to move a pointer on the computer screen.
Mouse cord,Кабель мишки,cable connecting the mouse to the computer
Mouse mat,Килимок для миші,A mouse mat is a pad that provides a smooth surface for a computer mouse.
Move(as in move a mouse),Рухати,To move the mouse means to shift the device to control the pointer on the screen.
Multimedia content,Мультимедійний контент,multimedia content
Network adapter,Мережевий адаптер,network card
Network connections,Мережеві з’єднання,links between devices within a network
Network troubleshooting,Вирішення мережевих проблем,network problem solving
Newest,Найновіший,Newest means most recent.
Notebook,Записник,"A notebook is a lightweight, portable computer for everyday tasks."
Number pad,Клавіші цифр,part of the keyboard with numbers
Obsolete,Застарілий,Obsolete means no longer used or out of date.
Obvious,Очевидний,Obvious means easy to understand or recognize.
OCR Software,ПО для оптичного розпізнавання символів,OCR software converts scanned text into editable digital text.
Old-tech,Старомодний,Old-tech refers to older or outdated technology.
Online forum,Онлайн форум,internet forum
Operating system,Операційна система,software that manages computer hardware and resources
Optical Character Recognition,Оптичне розпізнавання символів,Optical Character Recognition is the technology that converts scanned text into editable text.
Optical mouse,Оптична миша,An optical mouse is a mouse that uses light to detect movement.
Original,Оригінальний,Original refers to the source document being scanned or copied.
Page file,Файл підкачки,paging file
PDA (Personal Digital Assistant),КПК(Кишеньковий Персональний Компютер,A PDA is a handheld device used for managing personal information.
Performance,Продуктивність,system or program performance
Phishing,Фішинг,attempt to steal data
Plug,Вилка,A plug is a connector that allows a device to draw electrical power.
Plug and play,Підключив і працюй,Plug and play means a device works automatically when connected without extra setup.
Plugged in,Підключений,Plugged in means connected to a power supply.
Pointer,Вказівник,A pointer is the on-screen indicator controlled by a mouse.
Pop-up,Спливаюче вікно,pop-up window
Port,Порт,computer socket or connector
Power button,Кнопка живлення,A power button is a switch that turns a device on or off.
Power point,Тут краще просто дефініція,A power point is an electrical outlet that provides power to devices.
Power supply unit (PSU),Блок живлення,computer power supply
Power switch,Перемикач живлення,computer power button
PPM (pages per minute),Cторінки на хвилину,number of pages printed per minute
Preferences,Вподобання,user preferences
Preview,Передпоказ,Preview means to view something before finalizing or printing it.
Print out,Роздрукувати,To print out means to create a physical copy of a digital document.
Printer,Принтер,A printer is a device that produces physical copies of digital documents or images.
Project management tool,Інструмент управління проєктами,project management tool
Projector,Проектор,A projector is a device that displays images or video onto a large screen.
Properties,Властивості,"settings or attributes of a file, object, or program"
Proxy server,Проксі-сервер,intermediary server
Pulled out(plug),Витягнув(з розетки),Pulled out means the plug was removed from the socket.
Quick,Швидкий,Quick means fast or rapid.
QWERTY,QWERTY,standard keyboard layout
RAM back-up,Резервне копіювання ОЗП,a backup system that stores data from RAM
Re-chargeable,Перезаряджуваний,capable of being charged again
Reboot,Перезавантаження,system restart
Recharge,Зарядити,To recharge means to restore power to a battery.
Redundant data,Надлишкові дані,duplicate data used for reliability or backup
Repetitive strain injury,Травма від повторюваного напруження,Repetitive strain injury is damage caused by repeating the same physical motion.
Restore,Відновити,restore data
Restrictive access privileges,Обмежувальні права доступу,permissions that limit users’ ability to access resources
Return key,Клавіша повернення,The return key is used to start a new line or confirm a command.
Right button,Права клавіша миші,The right button opens context menus and additional options.
Roll(mouse wheel),Прокрутити(колесо миші),To roll the mouse wheel means to rotate it to navigate content.
Router,Роутер,device distributing internet signal
Rows and columns,Рядки та стовпці,horizontal and vertical divisions in a table or spreadsheet
Run out(of ink),Закінчитися,To run out of ink means that the printer no longer has ink available.
Scanner,Сканер,A scanner is a device that converts physical documents into digital format.
Screen,Екран,A screen is a display surface that shows visual output from a computer.
Screen saver,Заставка екрана,animated image that appears when a device is idle
Scroll bar,Смуга прокручування,scroll bar
Scroll down,Прокрутити вниз,To scroll down means to move displayed content downward.
Scroll up,Прокрутити вгору,To scroll up means to move displayed content upward.
Scroll wheel,Колесо мишки,The scroll wheel is a rotating control used to navigate through content.
Search engine,Пошукова система,internet search engine
Secure Setting up,Безпечне налаштування,configuring a system in a secure manner
Send and receive(faxes),Надсилати та отримувати,To send and receive faxes means to exchange documents via fax machine.
Settings,Налаштування,settings
Settings,Налаштування,configuration options in a device or program
Shared document,Спільний документ,shared document
Shift key,клавіша Shift,The shift key is used to type capital letters and special characters.
Shortcut,Скорочення,keyboard shortcut or icon
Sign-off,Прощання,"email closing (e.g., “Best regards”)"
Single click,Одне натискання,A single click is one press and release of a mouse button.
Socket,Розетка,A socket is an outlet that supplies electrical power to a plug.
Software,Програмне забезпечення,programs and applications run on a computer
Space bar,Пробіл(клавіша),The space bar is a long key used to insert spaces between words.
Spam,Спам,unwanted email messages
Spamming,Спамити,sending unwanted messages
Spyware,Шпигунське програмне забезпечення,malicious software that secretly collects user data
Stand,Стенд,A stand is a support that holds a monitor or device upright.
Standart keyboard,Стандартна клавіатура,A standard keyboard is a traditional layout with common keys and functions.
Subclasses,Підкласи,classes that inherit from another class in programming
Subject line,Тема,email subject
Switched off,Вимкнений,powered off or not operating
System monitoring tool,Інструмент моніторингу системи,system monitoring tool
Tab,Закладка,browser tab
Tab key,Клавіша TAB,The tab key moves the cursor to the next tab position or field.
Take(digital photos),Робити фото,To take digital photos means to capture images with a digital camera.
Task manager,Диспетчер завдань,task manager
Terminate and stay resident,Завершити та залишити в пам’яті,a type of DOS program that remains in memory after closing
Terms of service,Умови надання послуг,service terms
Text,Текст,Text is written or typed characters.
Thick,Товстий,Thick means having a large distance between opposite sides.
Toolbar,Панель інструментів,toolbar
Touch screen,Тачскрін,screen that reacts to touch
Touchpad,Тачпад,A touchpad is a flat surface that detects finger movement to control the pointer.
Tower,Вежа,A tower is the main vertical case of a desktop computer that houses components.
Trojan horse,Троянський кінь,malicious program disguised as legitimate software
Type in,Вводити(дані),To type in means to input text using a keyboard.
Typo,Описка,spelling mistake in text
Uncomplicated,Нескладний,Uncomplicated means simple and not difficult to understand.
Unformatted disk,Неформатований диск,a disk that has not been prepared for data storage
Uninstalling,Деінсталяція,removing software from a system
Unplug,Відєднати,To unplug means to disconnect a device from its power source.
Unpopulated,Незаповнений,"not filled, installed, or populated with components"
Update,Оновлення,a newer version of software or data
Update,Оновлення,software update
Upgrade,Оновлення,hardware or software improvement
Upload speed,Швидкість завантаження,data upload speed
User permissions,Дозволи користувача,user access rights
Vector graphics,Векторна графіка,graphics based on paths rather than pixels
Virtual memory,Віртуальна память,system virtual memory
Wi-Fi signal,Сигнал Wi-Fi,wireless network signal
Wire,Дріт,A wire is a conductor that carries electrical signals or power.
Wire-free,Бездротовий,Wire-free means operating without physical cables.
Wireless,Бездротовий,Wireless means functioning without wired connections.
Workstation,Робочий стіл(фізичний),computer workstation
Worm,Хробак (комп’ютерний),malware that spreads through networks independently
Wow and flutter,Коливання й тремтіння,audio distortions caused by speed variations
Wrong,Неправильний,Wrong means inaccurate or mistaken.
